APE;ST45;ST8
49.39B;6;7
49.39C;6;7
49.41A;28-3;8
49.41B;28-3;8
49.41C;6;7
49.42Z;6;7
49.50Z;6;7
50.10Z;6;7
50.20Z;28-2;8
50.30Z;6;7
50.40Z;28-2;8
51.10Z;6;7
51.21Z;28-2;8
51.22Z;6;7
52.10A;28-2;8
52.10B;28-2;8
52.21Z;26Mo;2
52.22Z;6;7
52.23Z;6;7
52.24A;28-2;8
52.24B;28-3;8
52.29A;28-2;8
52.29B;28-2;8
53.10Z;28-3;8
53.20Z;28-2;8
55.10Z;18;6
55.20Z;18;6
55.30Z;18;6
55.90Z;18;6
56.10A;18;6
56.10B;18;6
56.10C;18;6
56.21Z;18;6
56.29A;05-2;3
56.29B;05-2;3
56.30Z;18;6
58.11Z;04-7;3
58.12Z;04-7;3
58.13Z;25;7
58.14Z;04-7;3
58.19Z;04-7;3
58.21Z;26Mi;2
58.29A;26Mi;2
58.29B;26Mi;2
58.29C;26Mi;2
59.11A;25;7
59.11B;25;7
59.11C;25;7
59.12Z;26Mi;2
59.13A;25;7
59.13B;26Mi;2
59.14Z;26Ha;2
59.20Z;26Mi;2
60.10Z;26Mi;2
60.20A;26Mi;2
60.20B;26Mi;2
61.10Z;26Ha;2
61.20Z;26Ha;2
61.30Z;26Ha;2
61.90Z;26Ha;2
62.01Z;26Ha;2
62.02A;25;7
62.02B;02-2;2
62.03Z;26Mi;2
62.09Z;26Mi;2
63.11Z;26Mi;2
63.12Z;26Mi;2
63.91Z;25;7
63.99Z;26Ha;2
64.11Z;25;7
64.19Z;25;7
64.20Z;25;7
64.30Z;26Ha;2
64.91Z;25;7
64.92Z;25;7
64.99Z;25;7
65.11Z;25;7
65.12Z;25;7
65.20Z;25;7
65.30Z;25;7
66.11Z;25;7
66.12Z;27-3;7
66.19A;25;7
66.19B;25;7
66.21Z;25;7
66.22Z;25;7
66.29Z;25;7
66.30Z;26Ha;2
68.10Z;25;7
68.20A;25;7
68.20B;25;7
68.31Z;25;7
68.32A;25;7
68.32B;25;7
69.10Z;25;7
69.20Z;25;7
70.10Z;26Mi;2
70.21Z;25;7
70.22Z;25;7
71.11Z;25;7
71.12A;25;7
71.12B;26Mi;2
71.20A;26Fa;7
71.20B;25;7
72.11Z;25;7
72.19Z;25;7
72.20Z;25;7
73.11Z;26Mi;2
73.12Z;26Mi;2
73.20Z;26Mi;2
74.10Z;26Mi;2
74.20Z;26Mi;2
74.30Z;26Mi;2
74.90A;25;7
74.90B;25;7
75.00Z;26Ha;2
77.11A;26Fa;7
77.11B;26Fa;7
77.12Z;26Fa;7
77.21Z;26Fa;7
77.22Z;26Fa;7
77.29Z;26Fa;7
77.31Z;26Fa;7
77.32Z;26Fa;7
77.33Z;26Fa;7
77.34Z;26Fa;7
77.35Z;26Fa;7
77.39Z;26Fa;7
77.40Z;26Fa;7
78.10Z;25;7
78.20Z;25;7
78.30Z;25;7
79.11Z;26Mo;2
79.12Z;26Mo;2
79.90Z;26Mo;2
80.10Z;25;7
80.20Z;25;7
80.30Z;25;7
81.10Z;26Fa;7
81.21Z;26Fa;7
81.22Z;26Fa;7
81.29A;26Fa;7
81.29B;26Fa;7
81.30Z;1;1
82.11Z;26Mi;2
82.19Z;26Mi;2
82.20Z;26Mi;2
82.30Z;26Mi;2
82.91Z;26Mi;2
82.92Z;04-6;3
82.99Z;25;7
84.11Z;25;7
84.12Z;25;7
84.13Z;25;7
84.21Z;25;7
84.22Z;25;7
84.23Z;25;7
84.24Z;26Mo;2
84.25Z;26Mo;2
84.30A;25;7
84.30B;25;7
84.30C;25;7
85.10Z;26Fa;7
85.20Z;26Fa;7
85.31Z;25;7
85.32Z;25;7
85.41Z;25;7
85.42Z;25;7
85.51Z;26Fa;7
85.52Z;26Fa;7
85.53Z;26Fa;7
85.59A;26Fa;7
85.59B;25;7
85.60Z;25;7
86.10Z;25;7
86.21Z;25;7
86.22A;25;7
86.22B;25;7
86.22C;25;7
86.23Z;26Ha;2
86.90A;26Ha;2
86.90B;26Ha;2
86.90C;26Ha;2
86.90D;26Mi;2
86.90E;26Mi;2
86.90F;26Mi;2
87.10A;26Mi;2
87.10B;26Mi;2
87.10C;26Mi;2
87.20A;26Mi;2
87.20B;26Mi;2
87.30A;26Mi;2
87.30B;26Mi;2
87.90A;26Mi;2
87.90B;26Mi;2
88.10A;26Mi;2
88.10B;26Mi;2
88.10C;26Mi;2
88.91A;25;7
88.91B;25;7
88.99A;25;7
88.99B;25;7
90.01Z;26Ha;2
90.02Z;26Ha;2
90.03A;26Ha;2
90.03B;26Ha;2
90.04Z;26Mi;2
91.01Z;26Mo;2
91.02Z;26Mo;2
91.03Z;26Mo;2
91.04Z;26Mo;2
92.00Z;26Mo;2
93.11Z;26Fa;7
93.12Z;26Fa;7
93.13Z;26Fa;7
93.19Z;26Fa;7
93.21Z;26Ha;2
93.29Z;26Ha;2
94.11Z;25;7
94.12Z;25;7
94.20Z;25;7
94.91Z;25;7
94.92Z;25;7
94.99Z;25;7
95.11Z;02-4;2
95.12Z;02-4;2
95.21Z;02-4;2
95.22Z;02-4;2
95.23Z;02-4;2
95.24Z;02-4;2
95.25Z;02-4;2
95.29Z;02-4;2
96.01A;26Ha;2
96.01B;26Ha;2
96.02A;26Mi;2
96.02B;26Mi;2
96.03Z;26Mo;2
96.04Z;26Mi;2
96.09Z;26Mi;2
97.00Z;27-3;7
98.10Z;27-3;7
98.20Z;27-3;7
99.00Z;25;7
